category,comments,descriptions,difficulty_rating,endDate,endTime,experiment_id,image,is_data_visualization,languages,minivlat_answers,minivlat_time,prolific_id,reaction_times,self_understanding,startDate,startTime,timeSpent,topic,trial_number,desc_type,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_alttext_jaccard,desc_caption_sbert,desc_alttext_sbert,jaccard_alttext_caption,sbert_alttext_caption,question1,question10,question11,question12,question2,question3,question4,question5,question6,question7,question8,question9
Nutaarmiut / Population,,"a bar graph is shown by year, with variable increases and decreases but a downward trend between 2004-2010",4,Sun Nov 26 2023 16:12:51 GMT-0600 (Central Standard Time),1701036771637,1,prolific/train-0-42178.png,True,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.242533333333333,6001bbb7ffe5060f7e4c1b24,80822,Very Well,Sun Nov 26 2023 16:03:43 GMT-0600 (Central Standard Time),1701036223840,9.129950000000001,Nutaarmiut,0,first,10,19,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,106,17,3,0.5588235294117647,0.5,0.14000165462493896,0.07113604247570038,0.0,0.7322562336921692,1,1,0,1,1,1,1,1,1,0,1,1
Ikerasaarsuk / Population,,"a bar graph is shown with yearly pop trends, beginning with very low trends and rising upwards until 2000s, where data is variable until lowering between 2007-2010",5,Sun Nov 26 2023 16:12:51 GMT-0600 (Central Standard Time),1701036771637,1,prolific/train-0-370954.png,True,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.242533333333333,6001bbb7ffe5060f7e4c1b24,97193,Very Well,Sun Nov 26 2023 16:03:43 GMT-0600 (Central Standard Time),1701036223840,9.129950000000001,Ikerasaarsuk,1,first,10,29,Ikerasaarsuk population growth dynamics in the last two decades. Source: Statistics Greenland[4],Ikerasaarsuk population dynamics,163,17,3,0.4722222222222222,0.4827586206896552,0.1683868169784546,0.14761750400066376,0.0,0.7536988854408264,1,1,0,1,1,1,1,1,1,0,1,1
Nanortalik / Population,,"a bar graph is shown with variable trends between 1991-2004, where a steady downward trend is seen ",4,Sun Nov 26 2023 16:12:51 GMT-0600 (Central Standard Time),1701036771637,1,prolific/train-0-283458.png,True,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.242533333333333,6001bbb7ffe5060f7e4c1b24,45855,Very Well,Sun Nov 26 2023 16:03:43 GMT-0600 (Central Standard Time),1701036223840,9.129950000000001,Nanortalik,2,first,10,18,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,99,14,3,0.6111111111111112,0.4,0.11349675059318542,0.09507019817829132,0.0,0.6886775493621826,1,1,0,1,1,1,1,1,1,0,1,1
Bishop Auckland / Demography,,"The visualization shows the average ages of Bishop Auckland residents compared to County Durham residents, as well as the whole of England and Wales.",4,Sun Nov 26 2023 16:19:08 GMT-0600 (Central Standard Time),1701037148260,1,prolific/train-0-245143.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '10.9%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.109716666666666,5cdee86590d2dc0001f86b3a,94570,Well,Sun Nov 26 2023 16:05:21 GMT-0600 (Central Standard Time),1701036321366,13.781566666666667,Bishop Auckland,0,first,10,26,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",149,32,71,0.7073170731707317,0.7948717948717948,0.7362522482872009,0.73935866355896,0.0,0.796863317489624,1,1,1,1,1,1,1,0,1,0,1,1
Tetration / Inverse operations / Super-root / Other super-roots,,A graph of the function sqrt3 times x times s.,5,Sun Nov 26 2023 16:19:08 GMT-0600 (Central Standard Time),1701037148260,1,prolific/train-0-28614.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '10.9%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.109716666666666,5cdee86590d2dc0001f86b3a,68995,Well,Sun Nov 26 2023 16:05:21 GMT-0600 (Central Standard Time),1701036321366,13.781566666666667,Tetration,1,first,10,11,"The graph
  
    
      
        y
        =
        
          
            
              x
              
                3
              
            
          
          
            s
          
        
      
    
    {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
.",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,46,27,22,0.42424242424242425,0.6206896551724138,0.6611992716789246,0.4547240436077118,0.0,0.4837883710861206,1,1,1,1,1,1,1,0,1,0,1,1
History of Georgetown University / Early growth / Early student life,,A graph depicting the lower student enrollment in Medical and Law schools when compared to general Academy and College.,2,Sun Nov 26 2023 16:19:08 GMT-0600 (Central Standard Time),1701037148260,1,prolific/train-0-75149.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '10.9%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.109716666666666,5cdee86590d2dc0001f86b3a,116846,Well,Sun Nov 26 2023 16:05:21 GMT-0600 (Central Standard Time),1701036321366,13.781566666666667,History of Georgetown University,2,first,10,20,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",119,5,87,0.45161290322580644,0.5476190476190477,0.5980316400527954,0.5376114845275879,0.0,0.6151080131530762,1,1,1,1,1,1,1,0,1,0,1,1
Federal political financing in Canada / Private funding / Cost of fundraising,Thanks for the study!   :),Subsidized contributions raised more than Fundraising Expenses across the board. At least double or more of every party. Grand total is almost 3 times more.,4,Sun Nov 26 2023 16:25:11 GMT-0600 (Central Standard Time),1701037511271,1,prolific/train-0-14152.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.981683333333335,60a5717cc2ad303816870f66,205646,Moderate,Sun Nov 26 2023 16:07:52 GMT-0600 (Central Standard Time),1701036472632,17.31065,Federal political financing in Canada,0,first,11,28,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,156,24,15,0.5238095238095238,0.5833333333333334,0.6928289532661438,0.6960592269897461,0.0,0.9816362857818604,1,1,1,1,1,1,1,1,1,0,1,1
Nanortalik / Population,Thanks for the study!   :),"Overall, the population is right where it was 19 years prior in 1991. It spiked upwards in the mid nineties and early two thousands. ",3,Sun Nov 26 2023 16:25:11 GMT-0600 (Central Standard Time),1701037511271,1,prolific/train-0-283458.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.981683333333335,60a5717cc2ad303816870f66,118746,Moderate,Sun Nov 26 2023 16:07:52 GMT-0600 (Central Standard Time),1701036472632,17.31065,Nanortalik,1,first,11,27,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,133,14,3,0.6388888888888888,0.5357142857142857,0.27449849247932434,0.12817229330539703,0.0,0.6886775493621826,1,1,1,1,1,1,1,1,1,0,1,1
Ernie Toshack with the Australian cricket team in England in 1948 / Role,Thanks for the study!   :),"It's been really up & down for Ernie Toshack. He's done better in the ""test"" innings than the other first-class innings.",4,Sun Nov 26 2023 16:25:11 GMT-0600 (Central Standard Time),1701037511271,1,prolific/train-0-24640.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.981683333333335,60a5717cc2ad303816870f66,112366,Moderate,Sun Nov 26 2023 16:07:52 GMT-0600 (Central Standard Time),1701036472632,17.31065,Ernie Toshack with the Australian cricket team in England in 1948,2,first,11,27,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",120,60,119,0.6578947368421053,0.625,0.5276270508766174,0.5732771158218384,0.0,0.5854800939559937,1,1,1,1,1,1,1,1,1,0,1,1
European debt crisis / Evolution of the crisis / Portugal,,"The data shows debt in percent of GDP for the country of Portugal vs the Eurozone average from the years 1999-2019, according to data from Oxford economics. Portugals percentage begins at 50% and gradually rises to 131 in 2015, before falling to 124 in 2019. The debt percentage is lower than the Eurozone average until 2006, at which Portugals debt percentage remains higher than the Eurozone average for the remaining years.",4,Sun Nov 26 2023 14:25:36 GMT-0800 (Pacific Standard Time),1701037536533,1,prolific/train-0-191651.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.613166666666666,5ed731509a2ae019f3f4f6ea,216608,Well,Sun Nov 26 2023 14:02:00 GMT-0800 (Pacific Standard Time),1701036120628,23.598416666666665,European debt crisis,0,first,11,78,Debt of Portugal compared to eurozone average since 1999,Portuguese debt compared to eurozone average,426,9,6,0.5714285714285714,0.42857142857142855,0.8461868762969971,0.7924925684928894,0.0,0.9336457252502441,1,1,1,1,1,1,1,1,1,0,1,1
