,category,desc_type,comments,descriptions,difficulty_rating,endTime,experiment_id,image,is_data_visualization,languages,minivlat_answers,prolific_id,reaction_times,self_understanding,startDate,startTime,timeSpent,topic,trial_number,endDate,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_caption_sbert,desc_alttext_sbert,sbert_alttext_caption,question1,question10,question11,question12,question2,question3,question4,question5,question6,question7,question8,question9
0,Anatomy of an Epidemic / Synopsis / Magic bullets,first,,It is a bar graph showing evaluation of people and mental illness in 1987 when Prozac was introduced vs 2003 when Prozac was readily available,4,1686185306032,1,prolific/train-0-29695.png,TRUE,,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'Skip', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5e53019d2ca8273228d34e2a,195994,Little,Wed Jun 07 2023 17:31:07 GMT-0700 (Mountain Standard Time),1686184267502,17.3088333333333,Anatomy of an Epidemic,0,,7,25,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,142,34,17,0.7441860465116280,0.48382899165153500,0.38463032245636000,0.1799975037574770,1,1,0,0,1,1,0,0,1,0,1,1
1,Great Southern Group / Fall,first,,It’s just showing a company’s total assets vs net assets from 1999 to 2008. Total assets are greater than net assets.,2,1686185306032,1,prolific/train-0-105181.jpg,TRUE,,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'Skip', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5e53019d2ca8273228d34e2a,158614,Little,Wed Jun 07 2023 17:31:07 GMT-0700 (Mountain Standard Time),1686184267502,17.3088333333333,Great Southern Group,1,,7,27,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",117,25,70,0.5,0.4795425832271580,0.5566021203994750,0.34356820583343500,1,1,0,0,1,1,0,0,1,0,1,1
2,History of Georgetown University / Early growth / Early student life,first,,Showing a line graph of Georgetown university enrollment from 1791-1888,1,1686185306032,1,prolific/train-0-75149.png,TRUE,,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'Skip', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5e53019d2ca8273228d34e2a,281703,Little,Wed Jun 07 2023 17:31:07 GMT-0700 (Mountain Standard Time),1686184267502,17.3088333333333,History of Georgetown University,2,,7,10,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",71,5,87,0.6785714285714290,0.811704695224762,0.6008458137512210,0.6250074505805970,1,1,0,0,1,1,0,0,1,0,1,1
3,Anatomy of an Epidemic / Synopsis / Magic bullets,first,,A bar graph comparing numbers of Americans who received SSDI and SSI in 1987 and 2003,1,1686186009719,1,prolific/train-0-29695.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5dceb040f2fabc10bd4a10fa,61355,Well,Wed Jun 07 2023 20:50:17 GMT-0400 (Eastern Daylight Time),1686185417907,9.86353333333333,Anatomy of an Epidemic,0,,11,16,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,85,34,17,0.6976744186046510,0.5632162690162660,0.335205078125,0.1799975037574770,1,1,1,1,1,1,1,1,1,0,1,1
4,Nutaarmiut / Population,first,,Bar graph showing Nutaariut population changes years from 1991 to 2010,2,1686186009719,1,prolific/train-0-89137.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5dceb040f2fabc10bd4a10fa,62657,Well,Wed Jun 07 2023 20:50:17 GMT-0400 (Eastern Daylight Time),1686185417907,9.86353333333333,Saqqaq,1,,11,11,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,70,17,3,0.625,0.5540347695350650,0.588019609451294,0.7758365869522100,1,1,1,1,1,1,1,1,1,0,1,1
5,Nutaarmiut / Population,second,,Bar graph showing Nutaariut population changes by year from 1991 to 2010,2,1686186009719,1,prolific/train-0-89137.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5dceb040f2fabc10bd4a10fa,10350,Well,Wed Jun 07 2023 20:50:17 GMT-0400 (Eastern Daylight Time),1686185417907,9.86353333333333,Saqqaq,1,,11,12,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,72,17,3,0.6060606060606060,0.5687823295593260,0.6053153276443480,0.7758365869522100,1,1,1,1,1,1,1,1,1,0,1,1
6,History of Georgetown University / Early growth / Early student life,first,,"Line graph showing changes in the rate of enrollment for the Academy and College, the Medical School, and the Law School of Georgetown University  from 1791 to 1888",2,1686186009719,1,prolific/train-0-75149.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5dceb040f2fabc10bd4a10fa,68123,Well,Wed Jun 07 2023 20:50:17 GMT-0400 (Eastern Daylight Time),1686185417907,9.86353333333333,History of Georgetown University,2,,11,30,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",164,5,87,0.5588235294117650,0.7675624489784240,0.797808051109314,0.6250074505805970,1,1,1,1,1,1,1,1,1,0,1,1
7,Bootham Crescent / Records,first,,Graph shows average attendance increased during initial years then ovarall flat to decreasing trend in attendance from about 1980 onwards.  Large fluctuations in attendance during the first 40 years.,3,1686186568158,1,prolific/train-0-62319.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5d9bc20e05a36d03c375758c,253786,Very Well,Wed Jun 07 2023 20:50:58 GMT-0400 (Eastern Daylight Time),1686185458908,18.4875,Bootham Crescent,0,,10,31,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,199,15,15,0.5526315789473690,0.3019714951515200,0.5010979175567630,0.6745055317878720,1,1,1,1,1,1,1,0,1,0,1,1
8,Anatomy of an Epidemic / Synopsis / Magic bullets,first,,The number of people receiving benefits for metal illness doubled between 1987 and 2003.,1,1686186568158,1,prolific/train-0-29695.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5d9bc20e05a36d03c375758c,128754,Very Well,Wed Jun 07 2023 20:50:58 GMT-0400 (Eastern Daylight Time),1686185458908,18.4875,Anatomy of an Epidemic,1,,10,15,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,88,34,17,0.6590909090909090,0.3226124346256260,0.2658518850803380,0.1799975037574770,1,1,1,1,1,1,1,0,1,0,1,1
9,History of Georgetown University / Early growth / Early student life,first,,"Student enrollment at Georgetown increased 6x from 1791 - 1888 (from around 75 student to 450 student).  General Academy & College student increased about 2.5x during that time, while remaining increase was due to addition of medical school in 1851 and law school in 1871.",4,1686186568158,1,prolific/train-0-75149.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5d9bc20e05a36d03c375758c,262004,Very Well,Wed Jun 07 2023 20:50:58 GMT-0400 (Eastern Daylight Time),1686185458908,18.4875,History of Georgetown University,2,,10,50,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",272,5,87,0.4523809523809520,0.5301371812820440,0.5427708625793460,0.6250074505805970,1,1,1,1,1,1,1,0,1,0,1,1
